App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 12:00:09 AM","1 min 5 sec","Trepn_2018.10.09_000007.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
54,1,54,1397655,429605,18,2295000,53,2295000,53,0,54,100,
123,1,123,949579,0,122,1836000,122,1836000,122,0,123,100,
225,1,225,1076194,108144,222,2295000,223,2295000,223,0,224,77,
324,1,324,1257889,289839,323,2295000,323,2295000,323,0,324,90,
425,1,425,1257889,289839,423,2295000,423,2295000,423,0,425,90,
527,1,527,835629,0,525,1836000,526,1836000,526,0,527,88,
577,1,577,788150,0,576,1836000,576,1836000,576,0,577,83,
677,1,677,1161719,193669,676,2193000,676,2193000,676,0,677,90,
778,1,778,1257889,289839,776,2295000,777,2295000,777,0,778,90,
878,1,878,559062,0,877,2295000,877,2295000,877,0,878,40,
983,1,983,642921,0,981,2295000,982,2295000,982,0,982,46,
1085,1,1085,419296,0,1084,2295000,1084,2295000,1084,0,1085,30,
1187,1,1187,614968,0,1186,2295000,1187,2295000,1186,0,1187,44,
1289,1,1289,1257889,289839,1286,2295000,1288,2295000,1287,0,1289,90,
1392,1,1392,1257889,289839,1390,2295000,1391,2295000,1390,0,1391,90,
1492,1,1492,642921,0,1491,2295000,1491,2295000,1491,0,1492,46,
1592,1,1592,153742,0,1591,2295000,1591,2295000,1591,0,1592,11,
1693,1,1693,153742,0,1691,2295000,1692,2295000,1692,0,1693,11,
1793,1,1793,559062,0,1791,2295000,1792,2295000,1792,0,1793,40,
1894,1,1894,614968,0,1892,2295000,1893,2295000,1893,0,1893,44,
1995,1,1995,0,0,1993,1122000,1994,1122000,1994,0,1995,0,
2106,1,2105,29418,0,2096,561000,2098,561000,2097,0,2103,20,
2198,1,2198,83721,0,2196,1530000,2197,1530000,2196,0,2198,12,
2298,1,2298,174420,0,2297,1530000,2297,1530000,2297,0,2298,25,
2399,1,2399,0,0,2397,1530000,2398,1530000,2398,0,2399,0,
2517,1,2517,37172,0,2500,535500,2511,535500,2505,0,2516,27,
2600,1,2600,174420,0,2598,1530000,2599,1530000,2599,0,2600,25,
2706,1,2706,56437,0,2700,586500,2703,586500,2702,0,2706,36,
2804,1,2804,88453,0,2800,637500,2801,637500,2800,0,2803,50,
2903,1,2903,293025,0,2900,1530000,2901,1530000,2900,0,2902,42,
3005,1,3005,173964,0,3000,1530000,3001,1224000,3001,0,3004,36,
3104,1,3104,80354,0,3101,841500,3102,841500,3102,0,3104,30,
3203,1,3203,348840,0,3201,1530000,3202,1530000,3202,0,3203,50,
3303,1,3303,251164,0,3302,1530000,3302,1530000,3302,0,3303,36,
3404,1,3404,230234,0,3402,1530000,3403,1530000,3403,0,3404,33,
3504,1,3504,417814,0,3503,1836000,3503,1836000,3503,0,3504,44,
3609,1,3609,759663,0,3603,1836000,3604,1836000,3603,0,3607,80,
3706,1,3706,1118124,150074,3705,2295000,3705,2295000,3705,0,3706,80,
3806,1,3806,978358,10308,3805,2295000,3805,2295000,3805,0,3806,70,
3908,1,3908,978358,10308,3905,2295000,3906,2295000,3906,0,3908,70,
4008,1,4008,1397655,429605,4006,2295000,4008,2295000,4007,0,4008,100,
4110,1,4110,854621,0,4108,1836000,4109,1836000,4108,0,4110,90,
4210,1,4210,1397655,429605,4209,2295000,4209,2295000,4209,0,4210,100,
4310,1,4310,1257889,289839,4309,2295000,4309,2295000,4309,0,4310,90,
4411,1,4411,880522,0,4410,2295000,4410,2295000,4410,0,4411,63,
4512,1,4512,1271866,303816,4510,2295000,4511,2295000,4511,0,4512,91,
4617,1,4617,1397655,429605,4611,2295000,4612,2295000,4612,0,4617,100,
4713,1,4713,1397655,429605,4711,2295000,4712,2295000,4712,0,4713,100,
4815,1,4815,522268,0,4812,1836000,4812,1836000,4812,0,4814,55,
4915,1,4915,968099,49,4912,2193000,4914,2193000,4914,0,4914,75,
5019,1,5019,768710,0,5013,2295000,5017,2295000,5017,0,5018,55,
5121,1,5121,1118124,150074,5113,2295000,5120,2295000,5120,0,5121,80,
5215,1,5215,1397655,429605,5213,2295000,5215,2295000,5214,0,5215,100,
5315,1,5315,1397655,429605,5314,2295000,5314,2295000,5314,0,5315,100,
5416,1,5415,1397655,429605,5414,2295000,5415,2295000,5415,0,5415,100,
5516,1,5516,854621,0,5515,1836000,5515,1836000,5515,0,5516,90,
5616,1,5616,1229936,261886,5615,2295000,5615,2295000,5615,0,5616,88,
5717,1,5717,1397655,429605,5715,2295000,5716,2295000,5716,0,5716,100,
5818,1,5818,949579,0,5816,1836000,5817,1836000,5816,0,5818,100,
5918,1,5918,1118124,150074,5916,2295000,5917,2295000,5917,0,5918,80,
6019,1,6019,922452,0,6017,2295000,6018,2295000,6018,0,6019,66,
6118,1,6118,1006311,38261,6117,2295000,6117,2295000,6117,0,6118,72,
6219,1,6219,559789,0,6218,1632000,6218,1632000,6218,0,6219,72,
6319,1,6319,118810,0,6318,2091000,6319,2091000,6319,0,6319,10,
6420,1,6420,55983,0,6419,1428000,6419,1428000,6419,0,6420,9,
6520,1,6520,735119,0,6519,2014500,6519,2014500,6519,0,6520,66,
6621,1,6621,1397655,429605,6619,2295000,6620,2295000,6620,0,6620,100,
6722,1,6722,1118124,150074,6720,2295000,6721,2295000,6720,0,6722,80,
6822,1,6822,343816,0,6820,1938000,6820,1938000,6820,0,6821,33,
6924,1,6924,387653,0,6922,1734000,6923,1734000,6923,0,6924,45,
7024,1,7024,248814,0,7023,1428000,7023,1428000,7023,0,7024,40,
7124,1,7124,111966,0,7123,1428000,7124,1428000,7123,0,7124,18,
7249,1,7249,55814,0,7231,1428000,7242,1530000,7242,0,7244,8,
7326,1,7326,495352,0,7325,1530000,7325,1530000,7325,0,7326,71,
7426,1,7426,569747,0,7425,1836000,7425,1836000,7425,0,7426,60,
7527,1,7527,569747,0,7525,1836000,7526,1836000,7526,0,7527,60,
7627,1,7627,759663,0,7626,1836000,7626,1836000,7626,0,7627,80,
7727,1,7727,949579,0,7726,1836000,7727,1836000,7726,0,7727,100,
7828,1,7828,1215959,247909,7827,2295000,7827,2295000,7827,0,7828,87,
7928,1,7928,698827,0,7927,2295000,7927,2295000,7927,0,7928,50,
8031,1,8031,569747,0,8029,1836000,8030,1836000,8030,0,8030,60,
8130,1,8130,94759,0,8129,1734000,8130,1734000,8130,0,8130,11,
8235,1,8232,251164,0,8230,1530000,8231,1530000,8230,0,8232,36,
8336,1,8336,28274,0,8330,510000,8333,510000,8332,0,8335,22,
8432,1,8432,251164,0,8430,1530000,8431,1530000,8431,0,8432,36,
8532,1,8532,209303,0,8531,1530000,8531,1530000,8531,0,8532,30,
8635,1,8635,14709,0,8632,561000,8633,561000,8632,0,8635,10,
8740,1,8740,0,0,8733,510000,8736,510000,8734,0,8740,0,
8836,1,8836,21788,0,8833,688500,8834,688500,8834,0,8836,11,
8937,1,8937,47031,0,8933,586500,8935,586500,8934,0,8937,30,
9034,1,9034,76744,0,9033,1530000,9034,1530000,9033,0,9034,11,
9134,1,9134,100243,0,9133,2014500,9134,2014500,9134,0,9134,9,
9239,1,9239,0,0,9235,510000,9236,510000,9236,0,9239,0,
9344,1,9343,12852,0,9336,510000,9338,510000,9337,0,9343,10,
9438,1,9438,76744,0,9436,1530000,9437,1530000,9436,0,9437,11,
9538,1,9538,76744,0,9536,1530000,9537,1530000,9537,0,9538,11,
9642,1,9642,21228,0,9637,637500,9639,637500,9638,0,9642,12,
9740,1,9740,188373,0,9738,1530000,9739,1530000,9738,0,9740,27,
9846,1,9846,12852,0,9839,510000,9841,510000,9840,0,9844,10,
9941,1,9940,174420,0,9939,1530000,9939,1530000,9939,0,9940,25,
10041,1,10041,125582,0,10039,1530000,10040,1530000,10039,0,10040,18,
10141,1,10141,188373,0,10139,1530000,10140,1530000,10140,0,10141,27,
10245,1,10245,15677,0,10241,510000,10242,586500,10242,0,10245,10,
10350,1,10350,70762,0,10343,637500,10345,637500,10344,0,10350,40,
10447,1,10446,0,0,10443,841500,10444,841500,10444,0,10446,0,
10550,1,10550,0,0,10544,510000,10546,510000,10545,0,10549,0,
10654,1,10653,27535,0,10645,535500,10648,535500,10647,0,10652,20,
10752,1,10751,12852,0,10745,510000,10747,510000,10747,0,10750,10,
10850,1,10850,42328,0,10845,586500,10847,586500,10846,0,10850,27,
10949,1,10949,348840,0,10946,1530000,10947,1530000,10947,0,10948,50,
11048,1,11048,69768,0,11047,1530000,11047,1530000,11047,0,11048,10,
11149,1,11149,153489,0,11147,1530000,11148,1530000,11147,0,11148,22,
11249,1,11249,0,0,11248,1530000,11248,1530000,11248,0,11249,0,
11355,1,11355,58379,0,11349,637500,11351,637500,11350,0,11355,33,
11450,1,11450,0,0,11449,1836000,11449,1836000,11449,0,11450,0,
11550,1,11550,139765,0,11549,2295000,11550,2295000,11549,0,11550,10,
11651,1,11651,300730,0,11650,2014500,11650,2014500,11650,0,11651,27,
11755,1,11754,42328,0,11751,586500,11752,586500,11752,0,11754,27,
11856,1,11856,46267,0,11851,510000,11853,510000,11852,0,11855,36,
11954,1,11954,209303,0,11952,1530000,11953,1530000,11952,0,11954,30,
12058,1,12058,25704,0,12053,510000,12055,510000,12054,0,12058,20,
12157,1,12157,38919,0,12153,637500,12155,637500,12154,0,12157,22,
12258,1,12258,12852,0,12254,510000,12255,510000,12255,0,12258,10,
12364,1,12363,23339,0,12355,612000,12358,612000,12356,0,12362,14,
12455,1,12455,139536,0,12454,1530000,12454,1530000,12454,0,12455,20,
12559,1,12559,14709,0,12555,561000,12557,561000,12556,0,12559,10,
12657,1,12657,76744,0,12655,1530000,12656,1530000,12656,0,12657,11,
12762,1,12762,12852,0,12757,510000,12758,510000,12758,0,12761,10,
12858,1,12858,306979,0,12856,1530000,12857,1530000,12857,0,12858,44,
12959,1,12959,188373,0,12957,1530000,12958,1530000,12958,0,12959,27,
13067,1,13067,12852,0,13058,510000,13060,510000,13059,0,13066,10,
13162,1,13162,0,0,13158,510000,13160,510000,13159,0,13162,0,
13260,1,13260,69768,0,13259,1530000,13259,1530000,13259,0,13260,10,
13364,1,13364,63686,0,13359,637500,13361,637500,13360,0,13363,36,
13471,1,13470,12852,0,13460,510000,13467,510000,13462,0,13470,10,
13562,1,13562,139536,0,13560,1530000,13561,1530000,13561,0,13562,20,
13668,1,13667,14709,0,13662,561000,13664,561000,13663,0,13667,10,
13764,1,13763,125582,0,13762,1530000,13762,1530000,13762,0,13763,18,
13868,1,13868,12852,0,13863,510000,13865,510000,13864,0,13867,10,
13964,1,13964,153489,0,13963,1530000,13963,1530000,13963,0,13964,22,
14064,1,14064,0,0,14063,1632000,14063,1632000,14063,0,14064,0,
14169,1,14168,23133,0,14164,510000,14166,510000,14165,0,14168,18,
14269,1,14269,25704,0,14265,510000,14267,510000,14266,0,14269,20,
14370,1,14370,0,0,14366,510000,14368,510000,14367,0,14370,0,
14471,1,14471,14137,0,14467,510000,14468,510000,14468,0,14470,11,
14572,1,14572,28274,0,14567,510000,14569,510000,14568,0,14572,22,
14673,1,14673,34419,0,14668,535500,14670,535500,14669,0,14672,25,
14723,1,14723,45433,0,14719,535500,14720,535500,14720,0,14723,33,
14821,1,14821,474789,0,14819,1836000,14820,1836000,14819,0,14821,50,
14938,1,14938,31843,0,14921,510000,14934,637500,14925,0,14937,18,
15023,1,15023,139536,0,15021,1530000,15022,1530000,15021,0,15022,20,
15126,1,15126,34489,0,15122,586500,15124,586500,15123,0,15126,22,
15225,1,15225,76744,0,15223,1530000,15224,1530000,15224,0,15225,11,
15328,1,15328,0,0,15323,510000,15325,510000,15324,0,15327,0,
15429,1,15429,34419,0,15424,535500,15426,535500,15425,0,15428,25,
15531,1,15531,28274,0,15526,510000,15528,510000,15527,0,15531,22,
15632,1,15631,47764,0,15627,637500,15629,637500,15628,0,15630,27,
15738,1,15738,26673,0,15728,510000,15732,612000,15730,0,15737,16,
15830,1,15830,0,0,15828,1530000,15829,1530000,15829,0,15830,0,
15951,1,15951,52693,0,15938,510000,15947,510000,15940,0,15950,41,
16031,1,16031,76744,0,16029,1530000,16030,1530000,16030,0,16031,11,
16136,1,16135,41220,0,16131,663000,16133,663000,16132,0,16135,22,
16242,1,16242,25704,0,16233,510000,16237,510000,16236,0,16241,20,
16334,1,16334,76744,0,16332,1530000,16333,1530000,16333,0,16334,11,
16435,1,16435,0,0,16433,1530000,16434,1530000,16433,0,16434,0,
16539,1,16539,0,0,16535,637500,16536,637500,16535,0,16539,0,
16640,1,16640,12852,0,16635,510000,16637,510000,16636,0,16640,10,
16740,1,16740,0,0,16736,510000,16737,510000,16736,0,16739,0,
16842,1,16842,0,0,16837,612000,16839,612000,16838,0,16841,0,
16941,1,16940,251164,0,16938,1530000,16939,1530000,16939,0,16940,36,
17042,1,17042,19808,0,17039,688500,17040,688500,17040,0,17042,10,
17146,1,17145,13767,0,17140,510000,17143,535500,17142,0,17145,10,
17248,1,17248,23133,0,17242,510000,17245,510000,17244,0,17247,18,
17343,1,17343,0,0,17341,1632000,17342,1632000,17342,0,17343,0,
17444,1,17444,0,0,17442,1530000,17443,1530000,17443,0,17444,0,
17547,1,17547,20905,0,17543,714000,17545,714000,17544,0,17547,10,
17648,1,17648,0,0,17644,510000,17645,510000,17645,0,17648,0,
17747,1,17747,0,0,17745,1530000,17746,1530000,17746,0,17747,0,
17850,1,17850,25704,0,17846,510000,17848,510000,17847,0,17850,20,
17949,1,17949,230234,0,17947,1530000,17948,1530000,17948,0,17949,33,
18052,1,18051,12852,0,18048,510000,18049,510000,18048,0,18051,10,
18154,1,18153,25704,0,18149,510000,18151,510000,18150,0,18153,20,
18255,1,18255,12852,0,18251,510000,18252,510000,18252,0,18255,10,
18352,1,18352,69768,0,18351,1530000,18351,1530000,18351,0,18352,10,
18459,1,18458,0,0,18454,510000,18456,510000,18455,0,18458,0,
18554,1,18554,0,0,18553,1530000,18553,1530000,18553,0,18554,0,
18658,1,18657,0,0,18654,510000,18655,510000,18654,0,18657,0,
18758,1,18758,35381,0,18754,637500,18756,637500,18755,0,18757,20,
18859,1,18859,50012,0,18855,612000,18856,612000,18856,0,18859,30,
18956,1,18956,153489,0,18955,1530000,18955,1530000,18955,0,18956,22,
19060,1,19060,42411,0,19056,510000,19057,510000,19057,0,19060,33,
19161,1,19161,0,0,19157,510000,19158,510000,19158,0,19160,0,
19263,1,19262,34700,0,19257,510000,19259,510000,19258,0,19262,27,
19364,1,19364,47764,0,19358,637500,19360,637500,19359,0,19363,27,
19460,1,19460,76744,0,19458,1530000,19459,1530000,19459,0,19460,11,
19566,1,19565,11566,0,19560,510000,19562,510000,19562,0,19565,9,
19667,1,19667,25704,0,19661,510000,19663,510000,19663,0,19666,20,
19763,1,19763,125582,0,19761,1530000,19761,1530000,19761,0,19762,18,
19863,1,19863,69768,0,19861,1530000,19862,1530000,19861,0,19862,10,
19965,1,19964,313955,0,19962,1530000,19963,1530000,19963,0,19964,45,
20063,1,20063,417814,0,20062,1836000,20062,1836000,20062,0,20063,44,
20167,1,20167,14109,0,20164,586500,20165,586500,20165,0,20167,9,
20266,1,20266,0,0,20264,1530000,20265,1530000,20264,0,20265,0,
20370,1,20370,0,0,20365,637500,20367,637500,20366,0,20369,0,
20472,1,20471,27535,0,20466,535500,20468,535500,20467,0,20470,20,
20573,1,20573,14137,0,20567,510000,20569,510000,20568,0,20572,11,
20669,1,20669,125582,0,20667,1530000,20668,1530000,20667,0,20668,18,
20774,1,20774,12852,0,20769,510000,20770,510000,20770,0,20773,10,
20874,1,20874,25704,0,20869,510000,20870,510000,20870,0,20873,20,
20974,1,20974,70762,0,20970,637500,20971,637500,20971,0,20973,40,
21082,1,21082,12852,0,21071,510000,21072,510000,21072,0,21082,10,
21175,1,21175,38919,0,21171,637500,21173,637500,21172,0,21175,22,
21276,1,21276,23133,0,21272,510000,21274,510000,21273,0,21276,18,
21378,1,21378,0,0,21373,535500,21375,535500,21374,0,21378,0,
21478,1,21478,47764,0,21473,637500,21475,637500,21474,0,21477,27,
21575,1,21575,139536,0,21573,1530000,21574,1530000,21574,0,21575,20,
21680,1,21680,0,0,21675,510000,21677,510000,21676,0,21679,0,
21775,1,21775,125582,0,21774,1530000,21775,1530000,21774,0,21775,18,
21879,1,21879,25704,0,21875,510000,21877,510000,21876,0,21879,20,
21978,1,21978,153489,0,21976,1530000,21976,1530000,21976,0,21978,22,
22079,1,22079,0,0,22077,1530000,22078,1530000,22077,0,22079,0,
22184,1,22184,11566,0,22178,510000,22180,510000,22179,0,22183,9,
22279,1,22279,0,0,22278,1530000,22278,1530000,22278,0,22279,0,
22383,1,22383,17244,0,22379,586500,22380,586500,22380,0,22383,11,
22484,1,22484,16180,0,22480,561000,22481,561000,22481,0,22484,11,
22586,1,22586,34700,0,22581,510000,22583,510000,22582,0,22585,27,
22685,1,22685,19459,0,22681,637500,22683,637500,22682,0,22685,11,
22786,1,22786,34700,0,22782,510000,22784,510000,22783,0,22786,27,
22887,1,22887,23339,0,22883,612000,22884,612000,22884,0,22886,14,
22990,1,22989,94076,0,22984,714000,22985,714000,22984,0,22988,45,
23089,1,23089,21228,0,23085,637500,23086,637500,23085,0,23088,12,
23191,1,23190,25704,0,23185,510000,23187,510000,23186,0,23190,20,
23289,1,23289,42328,0,23285,586500,23287,586500,23286,0,23289,27,
23390,1,23389,19459,0,23386,637500,23387,637500,23387,0,23389,11,
23487,1,23487,209303,0,23486,1530000,23486,1530000,23486,0,23487,30,
23588,1,23588,139536,0,23586,1530000,23587,1530000,23587,0,23588,20,
23690,1,23689,76744,0,23687,1530000,23688,1530000,23688,0,23689,11,
23796,1,23795,0,0,23788,510000,23789,510000,23789,0,23795,0,
23890,1,23889,76744,0,23888,1530000,23888,1530000,23888,0,23889,11,
23990,1,23990,209303,0,23988,1530000,23989,1530000,23989,0,23990,30,
24095,1,24095,23133,0,24090,510000,24092,510000,24091,0,24095,18,
24196,1,24196,32130,0,24190,510000,24192,510000,24192,0,24196,25,
24292,1,24292,76744,0,24290,1530000,24291,1530000,24291,0,24292,11,
24395,1,24395,53071,0,24391,637500,24393,637500,24392,0,24394,30,
24494,1,24494,139536,0,24492,1530000,24492,1530000,24492,0,24494,20,
24596,1,24596,23133,0,24592,510000,24593,510000,24593,0,24595,18,
24693,1,24693,69768,0,24692,1530000,24692,1530000,24692,0,24693,10,
24798,1,24798,0,0,24793,612000,24795,612000,24794,0,24797,0,
24898,1,24898,28274,0,24894,510000,24895,510000,24895,0,24898,22,
24996,1,24996,313955,0,24994,1530000,24995,1530000,24994,0,24996,45,
25101,1,25101,0,0,25095,510000,25096,510000,25096,0,25100,0,
25200,1,25200,14137,0,25196,510000,25197,510000,25197,0,25200,11,
25310,1,25309,34700,0,25296,510000,25300,510000,25297,0,25308,27,
25402,1,25402,44226,0,25397,637500,25398,637500,25398,0,25401,25,
25498,1,25498,76744,0,25496,1530000,25497,1530000,25497,0,25498,11,
25604,1,25603,34700,0,25598,510000,25600,510000,25599,0,25603,27,
25703,1,25703,0,0,25698,510000,25699,510000,25699,0,25702,0,
25804,1,25804,23133,0,25799,510000,25801,510000,25800,0,25804,18,
25900,1,25900,0,0,25899,1530000,25899,1530000,25899,0,25900,0,
26001,1,26001,209920,0,25999,1632000,26000,1632000,26000,0,26001,27,
26101,1,26101,153489,0,26100,1530000,26100,1530000,26100,0,26101,22,
26205,1,26204,41303,0,26201,535500,26202,535500,26202,0,26204,30,
26315,1,26315,23133,0,26302,510000,26311,510000,26307,0,26314,18,
26403,1,26403,230234,0,26401,1530000,26402,1530000,26402,0,26402,33,
26503,1,26503,62791,0,26502,1530000,26502,1530000,26502,0,26503,9,
26605,1,26605,0,0,26602,1530000,26603,1530000,26603,0,26604,0,
26709,1,26709,0,0,26703,510000,26705,510000,26704,0,26708,0,
26806,1,26806,0,0,26803,510000,26804,510000,26804,0,26806,0,
26907,1,26907,19459,0,26904,637500,26905,637500,26905,0,26907,11,
27005,1,27005,139536,0,27004,1530000,27004,1530000,27004,0,27005,20,
27108,1,27108,19459,0,27105,637500,27106,637500,27105,0,27108,11,
27206,1,27206,0,0,27204,1836000,27205,1836000,27205,0,27206,0,
27310,1,27309,0,0,27305,510000,27306,510000,27306,0,27309,0,
27411,1,27410,28274,0,27406,510000,27408,510000,27407,0,27410,22,
27512,1,27512,42411,0,27507,510000,27508,510000,27508,0,27511,33,
27613,1,27613,34700,0,27608,510000,27610,510000,27609,0,27613,27,
27718,1,27717,12852,0,27709,510000,27711,510000,27710,0,27717,10,
27815,1,27814,37172,0,27810,535500,27812,535500,27811,0,27814,27,
27917,1,27916,0,0,27910,510000,27912,510000,27912,0,27916,0,
28012,1,28012,209303,0,28011,1530000,28011,1530000,28011,0,28012,30,
28116,1,28116,0,0,28112,510000,28114,510000,28113,0,28116,0,
28213,1,28213,139536,0,28212,1530000,28212,1530000,28212,0,28213,20,
28313,1,28313,116171,0,28312,2193000,28312,2193000,28312,0,28313,9,
28416,1,28416,0,0,28413,510000,28414,510000,28413,0,28416,0,
28518,1,28518,12852,0,28514,510000,28515,510000,28515,0,28517,10,
28615,1,28615,0,0,28613,1530000,28614,1530000,28614,0,28614,0,
28715,1,28715,62791,0,28713,1530000,28714,1530000,28714,0,28715,9,
28818,1,28818,0,0,28814,510000,28816,510000,28815,0,28818,0,
28935,1,28935,68979,0,28915,586500,28917,586500,28916,0,28934,44,
29017,1,29017,188373,0,29015,1530000,29016,1530000,29015,0,29016,27,
29124,1,29124,53978,0,29116,510000,29120,510000,29118,0,29123,42,
29224,1,29224,25704,0,29219,510000,29221,510000,29220,0,29223,20,
29321,1,29321,153489,0,29319,1530000,29320,1530000,29320,0,29321,22,
29425,1,29425,12852,0,29421,510000,29422,510000,29422,0,29425,10,
29526,1,29526,0,0,29521,510000,29523,510000,29522,0,29526,0,
29623,1,29623,153489,0,29622,1530000,29622,1530000,29622,0,29623,22,
29728,1,29728,38556,0,29723,510000,29725,510000,29724,0,29727,30,
29825,1,29825,83721,0,29823,1530000,29824,1530000,29823,0,29825,12,
29944,1,29944,37172,0,29930,510000,29934,535500,29931,0,29943,27,
30026,1,30026,83721,0,30024,1530000,30025,1530000,30025,0,30026,12,
30132,1,30131,0,0,30126,510000,30128,510000,30127,0,30130,0,
30232,1,30231,14137,0,30226,510000,30227,510000,30227,0,30230,11,
30336,1,30335,11566,0,30327,510000,30331,510000,30329,0,30335,9,
30429,1,30429,83721,0,30427,1530000,30428,1530000,30427,0,30429,12,
30534,1,30534,23133,0,30529,510000,30530,510000,30530,0,30533,18,
30633,1,30633,39715,0,30629,561000,30631,561000,30630,0,30633,27,
30740,1,30739,12852,0,30730,510000,30735,510000,30732,0,30738,10,
30782,1,30781,348840,0,30780,1530000,30780,1530000,30780,0,30781,50,
30888,1,30888,25704,0,30881,510000,30883,510000,30881,0,30887,20,
30984,1,30984,284278,0,30982,1734000,30983,1734000,30982,0,30984,33,
31086,1,31085,0,0,31082,943500,31084,943500,31083,0,31085,0,
31184,1,31184,69768,0,31183,1530000,31183,1530000,31183,0,31184,10,
31284,1,31284,903559,0,31283,2193000,31283,2193000,31283,0,31283,70,
31384,1,31384,377366,0,31383,2295000,31383,2295000,31383,0,31384,27,
31488,1,31488,46267,0,31484,510000,31486,510000,31485,0,31488,36,
31586,1,31586,174420,0,31584,1530000,31584,1530000,31584,0,31585,25,
31688,1,31688,29418,0,31685,561000,31686,561000,31685,0,31688,20,
31786,1,31786,69768,0,31784,1530000,31785,1530000,31785,0,31786,10,
31892,1,31892,0,0,31885,510000,31888,510000,31886,0,31892,0,
31991,1,31991,34700,0,31986,510000,31987,510000,31987,0,31990,27,
32092,1,32092,42328,0,32087,586500,32088,586500,32088,0,32091,27,
32191,1,32191,31843,0,32188,637500,32189,637500,32188,0,32191,18,
32291,1,32291,230234,0,32288,1530000,32289,1530000,32289,0,32291,33,
32395,1,32395,922452,0,32390,2295000,32391,2295000,32391,0,32393,66,
32490,1,32490,419296,0,32489,2295000,32490,2295000,32489,0,32490,30,
32590,1,32590,279531,0,32589,2295000,32590,2295000,32590,0,32590,20,
32702,1,32701,0,0,32691,535500,32695,535500,32692,0,32700,0,
32793,1,32793,76744,0,32791,1530000,32792,1530000,32791,0,32792,11,
32898,1,32897,34700,0,32892,510000,32894,510000,32893,0,32897,27,
32996,1,32995,56209,0,32992,663000,32994,663000,32993,0,32995,30,
33096,1,33096,0,0,33093,637500,33094,637500,33094,0,33096,0,
